suite,scene_raw,scene,planner_raw,planner_public,run_id,source_log_id,benchmark_seed,target_cost,time_limit_s,status_code,status_label,solved,exact,approximate,final_time_s,final_cost,final_cost_normalized,target_hit,target_time_s,first_solution_time_s,first_solution_cost,progress_available
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,1,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,6.45152,707.835,0.88479375,true,6.45152,6.45152,707.835,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,2,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,6.89025,670.044,0.837555,true,6.89025,6.89025,670.044,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,3,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,9.75183,788.56,0.9857,true,9.75183,9.75183,788.56,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,4,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,14.0923,623.132,0.778915,true,14.0923,14.0923,623.132,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,5,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,4.32749,580.691,0.72586375,true,4.32749,4.32749,580.691,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,6,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,4.01138,598.395,0.74799375,true,4.01138,4.01138,598.395,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,7,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,7.0925,678.061,0.84757625,true,7.0925,7.0925,678.061,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,8,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,10.119,781.408,0.97676,true,10.119,10.119,781.408,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,9,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,2.22011,574.881,0.71860125,true,2.22011,2.22011,574.881,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,10,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,29.7198,607.878,0.7598475,true,29.7198,29.7198,607.878,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,11,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,5.75213,624.648,0.78081,true,5.75213,5.75213,624.648,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,12,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,6.1454,659.113,0.82389125,true,6.1454,6.1454,659.113,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,13,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,4.86234,655.762,0.8197025,true,4.86234,4.86234,655.762,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,14,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,5.77049,534.331,0.66791375,true,5.77049,5.77049,534.331,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,15,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,4.53026,630.396,0.787995,true,4.53026,4.53026,630.396,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,16,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,8.284,574.035,0.71754375,true,8.284,8.284,574.035,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,17,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,16.7584,527.943,0.65992875,true,16.7584,16.7584,527.943,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,18,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,16.3144,561.347,0.70168375,true,16.3144,16.3144,561.347,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,19,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,7.83512,670.019,0.83752375,true,7.83512,7.83512,670.019,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,20,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,1.484,637.261,0.79657625,true,1.484,1.484,637.261,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,21,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,8.43461,744.897,0.93112125,true,8.43461,8.43461,744.897,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,22,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,3.96176,702.573,0.87821625,true,3.96176,3.96176,702.573,false
ablation,Abstract,Abstract,BFMTstar_baseline,BFMT*,23,ablation_abstract_baseline_official_benchmark.log,139890637,800,60,6,exact_solution,true,true,false,1.5798,662.343,0.82792875,true,1.5798,1.5798,662.343,false
