trial_id,planner_id,planner_label,obj_x,obj_y,obj_z,obj_yaw,pick_success,place_success,reset_success,pick_plan_time,place_plan_time,reset_plan_time,pick_path_cost,place_path_cost,reset_path_cost,pick_waypoints,place_waypoints,reset_waypoints,total_plan_time,total_path_cost,total_waypoints,notes
1,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.144696,5.08864,5.022715,5.082225,6.843739,4.051476,29,37,21,15.256051,15.97744,87,
2,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.04805,5.180753,5.024047,6.88709,6.348934,4.051655,35,33,21,15.25285,17.287679,89,
3,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.065024,5.410417,5.022994,6.507178,7.8805,4.05147,37,39,21,15.498435,18.439148,97,
4,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.070909,5.213671,5.02486,7.552729,8.863573,4.051543,45,47,21,15.30944,20.467845,113,
5,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.253598,5.082535,5.031629,5.578809,8.359542,4.051511,31,45,21,15.367762,17.989862,97,
6,DAFMTkConfigDefault,DAFMT*,,,,,False,False,False,5.336874,,,,,,,,,,,,pick_plan_failed
7,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.105647,5.148391,5.024615,5.965802,7.353478,4.051399,35,40,21,15.278653,17.370679,96,
8,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.050597,5.419402,5.02998,6.496571,6.91622,4.0514,37,40,21,15.499979,17.464191,98,
9,DAFMTkConfigDefault,DAFMT*,,,,,False,False,False,5.382118,,,,,,,,,,,,pick_plan_failed
10,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.068289,5.062939,5.025244,7.797098,6.190703,4.051489,43,35,21,15.156472,18.03929,99,
11,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.267215,5.077282,5.031662,5.415079,7.636234,4.051462,31,38,21,15.376159,17.102775,90,
12,DAFMTkConfigDefault,DAFMT*,,,,,False,False,False,5.296164,,,,,,,,,,,,pick_plan_failed
13,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.063285,5.058535,5.014918,7.635122,6.83714,4.051377,37,36,21,15.136738,18.523639,94,
14,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.314743,5.071183,5.019213,7.061638,6.957635,4.051594,40,39,21,15.405139,18.070867,100,
15,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.163912,5.13426,5.027664,4.819879,7.91057,4.051486,31,44,21,15.325836,16.781935,96,
16,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.069249,5.20494,5.021256,6.828029,6.80202,4.051481,38,35,21,15.295445,17.68153,94,
17,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.05231,5.058424,5.028484,7.4472,6.213109,4.05138,40,37,21,15.139218,17.711689,98,
18,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.347146,5.047154,5.025812,7.423845,6.953213,4.051605,42,34,21,15.420112,18.428663,97,
19,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.05256,5.047591,5.029969,6.650038,8.400798,4.051435,36,41,21,15.13012,19.102271,98,
20,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.220746,5.416941,5.036824,5.633374,9.371648,4.051586,31,47,21,15.674511,19.056608,99,
21,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.312839,5.28764,5.025819,7.020567,8.351534,4.051543,36,46,21,15.626298,19.423644,103,
22,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.185937,5.059746,5.034288,6.900683,7.826663,4.051562,39,41,21,15.279971,18.778908,101,
23,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.040297,5.074869,5.019483,5.13361,6.51982,4.051511,34,35,21,15.134649,15.704941,90,
24,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.047352,5.076564,5.034169,6.369047,7.004154,4.051503,37,40,21,15.158085,17.424704,98,
25,DAFMTkConfigDefault,DAFMT*,,,,,True,False,False,5.230465,5.276156,,7.246094,,,42,,,,,,place_plan_failed
26,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.353334,5.031908,5.025899,6.808011,7.57926,4.051493,36,39,21,15.411141,18.438764,96,
27,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.19032,5.074156,5.027036,5.509369,6.321132,4.051637,30,31,21,15.291512,15.882138,82,
28,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.339433,5.483487,5.023131,7.86328,6.501294,4.051602,41,36,21,15.846051,18.416176,98,
29,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.236042,5.252359,5.028021,5.30655,7.179759,4.051369,31,39,21,15.516422,16.537678,91,
30,DAFMTkConfigDefault,DAFMT*,,,,,True,True,True,5.058116,5.396875,5.024685,6.098604,6.706191,4.051598,35,37,21,15.479676,16.856393,93,
1,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.02458,2.131498,1.061138,7.686273,7.384818,4.051581,42,40,21,5.217216,19.122672,103,
2,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.094886,2.28822,0.935477,7.712668,8.624653,4.051627,43,48,21,5.318583,20.388948,112,
3,BFMTkConfigDefault,BFMT*,,,,,True,True,True,1.843246,2.710703,0.985816,5.170998,8.02057,4.051568,32,45,21,5.539765,17.243136,98,
4,BFMTkConfigDefault,BFMT*,,,,,True,True,True,3.587788,1.998634,0.981683,6.242982,7.04082,4.051739,35,38,21,6.568105,17.335541,94,
5,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.541721,1.760949,0.9623,6.150399,7.731048,4.05148,36,37,21,5.26497,17.932927,94,
6,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.314094,1.688216,1.01538,6.267932,8.764503,4.051508,37,44,21,5.01769,19.083943,102,
7,BFMTkConfigDefault,BFMT*,,,,,True,True,True,1.758306,2.451141,0.954388,6.583497,9.619833,4.051483,36,49,21,5.163835,20.254813,106,
8,BFMTkConfigDefault,BFMT*,,,,,True,True,True,3.07221,2.116302,0.971488,10.481899,8.313131,4.051559,56,38,21,6.16,22.846589,115,
9,BFMTkConfigDefault,BFMT*,,,,,True,True,True,1.894898,2.038142,0.995303,5.54203,9.174587,4.051537,33,47,21,4.928343,18.768154,101,
10,BFMTkConfigDefault,BFMT*,,,,,True,True,True,3.064606,1.570382,0.994369,8.145131,6.916862,4.051548,39,38,21,5.629357,19.113541,98,
11,BFMTkConfigDefault,BFMT*,,,,,False,False,False,2.007465,,,,,,,,,,,,pick_plan_failed
12,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.057443,2.141063,1.024444,9.271584,10.337864,4.051524,47,51,21,5.22295,23.660972,119,
13,BFMTkConfigDefault,BFMT*,,,,,True,True,True,1.391695,2.458486,0.990552,5.721079,10.045163,4.051506,34,55,21,4.840733,19.817748,110,
14,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.224745,1.48389,1.00868,6.787737,8.749631,4.051551,36,44,21,4.717315,19.588919,101,
15,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.206895,3.289552,1.0851,8.026806,13.99043,4.051567,44,75,21,6.581547,26.068803,140,
16,BFMTkConfigDefault,BFMT*,,,,,False,False,False,2.611537,,,,,,,,,,,,pick_plan_failed
17,BFMTkConfigDefault,BFMT*,,,,,True,False,False,2.442359,2.136113,,8.57278,,,46,,,,,,place_plan_failed
18,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.814807,3.002283,1.023218,9.347434,13.144556,4.051386,50,70,21,6.840308,26.543376,141,
19,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.014182,2.282113,0.945345,6.118504,10.766235,4.051544,37,54,21,5.24164,20.936283,112,
20,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.360295,2.098624,0.987298,7.973246,7.603852,4.051478,47,36,21,5.446217,19.628576,104,
21,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.469346,1.949552,1.011091,6.479318,7.625503,4.051468,36,38,21,5.429989,18.156289,95,
22,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.482539,3.067464,1.034665,7.360323,10.058433,4.051655,45,52,21,6.584668,21.470411,118,
23,BFMTkConfigDefault,BFMT*,,,,,True,True,True,1.7467,2.917114,0.989831,6.660089,14.228704,4.051455,37,77,21,5.653645,24.940248,135,
24,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.796046,2.152705,0.992576,7.803898,7.419576,4.05169,43,43,21,5.941327,19.275164,107,
25,BFMTkConfigDefault,BFMT*,,,,,True,True,True,1.589036,2.80449,0.988664,6.647288,9.315132,4.051551,38,48,21,5.38219,20.013971,107,
26,BFMTkConfigDefault,BFMT*,,,,,True,True,True,1.680047,1.819441,0.962996,5.641121,7.808995,4.051406,32,39,21,4.462484,17.501522,92,
27,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.476003,1.880871,1.051348,6.344857,7.157259,4.051553,36,39,21,5.408222,17.553669,96,
28,BFMTkConfigDefault,BFMT*,,,,,True,True,True,1.952946,2.110887,0.967017,5.348187,7.947633,4.051688,29,45,21,5.03085,17.347508,95,
29,BFMTkConfigDefault,BFMT*,,,,,True,False,False,2.437124,2.261766,,8.673111,,,48,,,,,,place_plan_failed
30,BFMTkConfigDefault,BFMT*,,,,,True,True,True,2.131738,2.015361,1.008872,6.803529,7.766406,4.051474,38,44,21,5.155971,18.621409,103,
1,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.106263,5.087872,8.425086,10.751423,13.192996,4.051453,59,61,21,18.619221,27.995872,141,
2,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.086006,5.071326,0.04408,12.618903,10.312546,4.051333,68,53,21,10.201412,26.982782,142,
3,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.096179,5.108781,0.037238,11.785063,14.249072,4.051413,64,72,21,10.242198,30.085548,157,
4,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.074064,5.077237,9.544971,9.879643,11.065541,4.051574,55,55,21,19.696272,24.996758,131,
5,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.07223,5.075975,14.867664,9.949067,11.07383,4.05142,52,50,21,25.015869,25.074317,123,
6,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.076468,5.094482,18.397238,10.098289,11.178154,4.051431,56,53,21,28.568188,25.327874,130,
7,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.089398,5.103935,9.324429,11.226091,10.214307,4.051583,58,59,21,19.517762,25.491981,138,
8,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.093673,5.069165,6.833888,10.329904,11.947048,4.051688,56,58,21,16.996726,26.32864,135,
9,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.072086,5.12854,0.03057,10.673944,13.59821,4.051273,59,72,21,10.231196,28.323427,152,
10,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.093513,5.083739,19.590771,10.638585,13.2635,4.051413,55,66,21,29.768023,27.953498,142,
11,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.064549,5.099408,22.855295,10.842923,10.348962,4.051625,54,59,21,33.019252,25.24351,134,
12,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.068451,5.08522,7.190713,8.898533,12.762213,4.051579,47,60,21,17.344384,25.712325,128,
13,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.082907,5.093607,13.458444,11.709703,9.967195,4.051473,62,54,21,23.634958,25.728371,137,
14,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.078046,5.072482,0.044429,9.760825,11.6334,4.051505,50,56,21,10.194957,25.44573,127,
15,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.072863,5.124566,0.045016,11.108394,18.782155,4.051422,56,93,21,10.242445,33.941971,170,
16,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.063288,5.101392,0.032357,10.119146,13.012435,4.051577,53,66,21,10.197037,27.183158,140,
17,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.081493,5.084614,7.691375,10.453844,13.733999,4.051683,55,67,21,17.857482,28.239526,143,
18,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.057985,5.125663,26.79888,10.142869,10.67803,4.051468,52,52,21,36.982528,24.872367,125,
19,BITstarkConfigDefault,BIT*,,,,,True,False,False,5.064773,5.28219,,10.172277,,,54,,,,,,place_plan_failed
20,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.097373,5.088801,18.478947,10.75722,11.059854,4.05155,54,59,21,28.665121,25.868624,134,
21,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.062233,5.094134,0.031132,10.12743,10.984456,4.051472,46,57,21,10.187499,25.163358,124,
22,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.065698,5.084211,14.567335,10.25944,11.649123,4.051489,55,54,21,24.717244,25.960052,130,
23,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.08769,5.101063,8.254723,10.966059,10.760066,4.051539,60,50,21,18.443476,25.777664,131,
24,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.079978,5.073745,0.042404,10.652307,12.496428,4.051476,57,64,21,10.196127,27.200211,142,
25,BITstarkConfigDefault,BIT*,,,,,False,False,False,5.436933,,,,,,,,,,,,pick_plan_failed
26,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.10302,5.10336,0.03528,14.375276,12.704463,4.051391,70,67,21,10.24166,31.13113,158,
27,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.07883,5.068286,63.846086,9.338977,10.357239,4.05166,51,51,21,73.993202,23.747876,123,
28,BITstarkConfigDefault,BIT*,,,,,False,False,False,5.333281,,,,,,,,,,,,pick_plan_failed
29,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.106597,5.06909,0.051696,13.283817,10.080479,4.051575,73,49,21,10.227383,27.415871,143,
30,BITstarkConfigDefault,BIT*,,,,,True,True,True,5.086382,5.108042,12.717753,10.295618,15.820751,4.051628,59,76,21,22.912177,30.167997,156,
1,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.326556,,,,,,,,,,,,pick_plan_failed
2,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.327381,,,,,,,,,,,,pick_plan_failed
3,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.331063,,,,,,,,,,,,pick_plan_failed
4,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,5.254499,,,,,,,,,,,,pick_plan_failed
5,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.328071,,,,,,,,,,,,pick_plan_failed
6,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.328752,,,,,,,,,,,,pick_plan_failed
7,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,True,True,False,5.038506,5.107494,0.327953,6.689878,6.667938,,37,37,,,,,reset_plan_failed
8,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.326006,,,,,,,,,,,,pick_plan_failed
9,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,5.318417,,,,,,,,,,,,pick_plan_failed
10,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,True,False,False,5.117907,0.325455,,8.06593,,,38,,,,,,place_plan_failed
11,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.324314,,,,,,,,,,,,pick_plan_failed
12,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.324639,,,,,,,,,,,,pick_plan_failed
13,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.324787,,,,,,,,,,,,pick_plan_failed
14,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,5.120903,,,,,,,,,,,,pick_plan_failed
15,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.327109,,,,,,,,,,,,pick_plan_failed
16,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,5.253488,,,,,,,,,,,,pick_plan_failed
17,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.31907,,,,,,,,,,,,pick_plan_failed
18,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.325004,,,,,,,,,,,,pick_plan_failed
19,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.317425,,,,,,,,,,,,pick_plan_failed
20,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.325836,,,,,,,,,,,,pick_plan_failed
21,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,5.050125,,,,,,,,,,,,pick_plan_failed
22,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.324344,,,,,,,,,,,,pick_plan_failed
23,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.325994,,,,,,,,,,,,pick_plan_failed
24,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.325708,,,,,,,,,,,,pick_plan_failed
25,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.325677,,,,,,,,,,,,pick_plan_failed
26,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.30999,,,,,,,,,,,,pick_plan_failed
27,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.30656,,,,,,,,,,,,pick_plan_failed
28,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,True,False,False,5.11492,5.309292,,6.131497,,,36,,,,,,place_plan_failed
29,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.326675,,,,,,,,,,,,pick_plan_failed
30,InformedRRTstarkConfigDefault,Informed-RRT*,,,,,False,False,False,0.325994,,,,,,,,,,,,pick_plan_failed
