scene,planner,runs,solved_n,hit_n,target_time_n,target_time_mean,target_time_sd,target_time_mean_ci_low,target_time_mean_ci_high,target_time_median,target_time_median_ci_low,target_time_median_ci_high,final_cost_n,final_cost_mean,final_cost_sd,final_cost_mean_ci_low,final_cost_mean_ci_high,solved_rate,solved_ci_low,solved_ci_high,hit_rate,hit_ci_low,hit_ci_high,source_data_file,statistics_provenance
Abstract,PEBFMT*,50,50,50,50,8.3956226,4.109269466840722,7.279308505,9.52396608,8.125315,6.81274,9.20108,50,645.18480396,69.22822190933694,626.713056305,664.417376986,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
Abstract,BFMT*,50,50,48,48,8.331102708333333,5.2628476691987185,6.898796010416667,9.890050786458334,7.451435,5.49247,9.55549,50,643.80174,71.20133403439827,624.671552,663.79168,1.0,0.9286524008666414,1.0,0.96,0.8653990931249297,0.9889611156723802,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
Abstract,BIT*,50,50,49,49,4.92586918367347,4.427746811839345,3.7935342551020406,6.220641938775511,2.89386,2.36276,4.63569,50,599.64422,74.98969213254769,580.5811554999999,621.1105399999999,1.0,0.9286524008666414,1.0,0.98,0.8950455641036219,0.9964607407283539,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
Abstract,Informed RRT*,50,16,16,16,30.69084375,20.03712073032912,21.249705453125003,40.135765296875,34.413650000000004,11.3769,44.7951,16,643.9020264375,77.29765518464394,607.62000140625,680.36595680625,0.32,0.20758216260656845,0.45810297308144077,0.32,0.20758216260656845,0.45810297308144077,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
Apartment_hard,PEBFMT*,50,50,50,50,4.0443923999999996,3.382525502242467,3.1886109599999997,5.06359936,2.885945,2.08422,3.35211,50,500.14847316,42.05091006990732,488.53322465300005,511.438254825,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
Apartment_hard,BFMT*,50,50,31,31,2.4661664516129034,1.0339000092902226,2.1431750241935483,2.8582377258064513,2.11619,1.88826,2.62528,50,550.88276,81.28270249116817,528.5765504999999,573.5769395000001,1.0,0.9286524008666414,1.0,0.62,0.4815044693099298,0.7413721068980641,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
Apartment_hard,BIT*,50,33,30,30,20.443200333333333,17.12250263453481,14.608841141666668,26.79355606666666,15.20235,9.086929999999999,28.851,33,517.8587878787879,41.17954166722049,503.84467272727267,531.4150303030302,0.66,0.521538260502326,0.7756305077749992,0.6,0.4618143774758936,0.7239161026974346,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
Apartment_hard,Informed RRT*,50,1,1,1,41.6089,nan,41.6089,41.6089,41.6089,41.6089,41.6089,1,398.695877,nan,398.695877,398.695877,0.02,0.003539259271646236,0.10495443589637815,0.02,0.003539259271646236,0.10495443589637815,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
Barriers,PEBFMT*,50,50,50,50,1.37077406,1.40194153083475,1.041121564,1.8010094305,1.039185,0.83169,1.213935,50,716.42743922,3.6199302519957914,715.3604726615001,717.3710571925001,1.0,0.9286524008666414,1.0,1.0,0.9286524008666414,1.0,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
Barriers,BFMT*,50,50,1,1,0.182916,nan,0.182916,0.182916,0.182916,0.182916,0.182916,50,772.31112,28.103273430978227,764.5923314999999,780.3273175,1.0,0.9286524008666414,1.0,0.02,0.003539259271646236,0.10495443589637815,data/main-study/main_runs.csv,"Locked final-manuscript statistics; deterministic point estimates, denominators, and Wilson intervals are verified from the public run data."
